run_key,study,task,model,runtime_model_name,seed,data_seed_train,data_seed_validation,data_seed_test,train_length,eval_length,active_branches_train,active_branches_eval,train_samples,validation_samples,test_samples,valid_tokens_eval_mean,best_epoch,best_validation_loss,best_validation_accuracy,training_seconds,training_examples_per_second_last_epoch,training_tokens_per_second_last_epoch,parameter_count,checkpoint,eval_loss,eval_accuracy,eval_examples,runtime_inference_seconds_per_batch,runtime_inference_examples_per_second,runtime_inference_tokens_per_second,runtime_inference_batch_size,struct_bond_dimension,struct_effective_rank,struct_tree_depth,struct_active_branches,struct_cut_capacity_bits_proxy,struct_stream_state_scalars_proxy,struct_parameter_count,eval_levels_used,eval_effective_rank,eval_orthogonality,eval_branch_levels_used,eval_branch_effective_rank,eval_global_levels_used,eval_global_effective_rank,struct_router_search_scalars_proxy,eval_branch_orthogonality,eval_global_orthogonality,eval_router_router_entropy,eval_router_router_balance,eval_router_router_active_branches,eval_router_router_lag_entropy,eval_route_accuracy_aligned,eval_route_purity,eval_route_used_branches,struct_attention_score_scalars_proxy,eval_branch_rank_regularizer,eval_global_rank_regularizer
detail_disentangler__fixed_mera__seed20280919,detail_disentangler,predictive_detail,fixed_mera,fixed_mera,20280919,20280823,20280835,21280912,32,32,8,8,2048,512,512,32.0,4,0.6704513728618622,0.58984375,4.013292968999963,6195.946118310107,198270.2757859234,18851,checkpoints/detail_disentangler__fixed_mera__seed20280919.pt,0.6606783866882324,0.6015625,512.0,0.0025620106666603,24980.37999327552,799372.1597848166,64.0,16.0,16.0,5.0,1.0,20.0,80.0,18851.0,5.0,16.0,0.0067897946573793,,,,,,,,,,,,,,,,,
detail_disentangler__fixed_mera__seed20280919,detail_disentangler,predictive_detail,fixed_mera,fixed_mera,20280919,20280823,20280835,22280912,32,64,8,8,2048,512,512,62.0,4,0.6704513728618622,0.58984375,4.013292968999963,6195.946118310107,198270.2757859234,18851,checkpoints/detail_disentangler__fixed_mera__seed20280919.pt,0.698544055223465,0.546875,512.0,0.0041958180000089,15253.283149999284,976210.121599954,64.0,16.0,16.0,6.0,1.0,24.0,96.0,18851.0,6.0,16.0,0.005658162292093,,,,,,,,,,,,,,,,,
detail_disentangler__fixed_mera__seed20280919,detail_disentangler,predictive_detail,fixed_mera,fixed_mera,20280919,20280823,20280835,23280912,32,128,8,8,2048,512,512,128.0,4,0.6704513728618622,0.58984375,4.013292968999963,6195.946118310107,198270.2757859234,18851,checkpoints/detail_disentangler__fixed_mera__seed20280919.pt,0.6846107542514801,0.580078125,512.0,0.0064443586666508,9931.16667003589,1271189.3337645938,64.0,16.0,16.0,7.0,1.0,28.0,112.0,18851.0,7.0,16.0,0.0048498534597456,,,,,,,,,,,,,,,,,
interleaved_tournament__routed_ttn_oracle__seed20261119,interleaved_tournament,interleaved_threads,routed_ttn_oracle,routed_ttn_oracle,20261119,20260823,20260835,21261112,32,32,8,8,2048,512,512,32.0,18,0.0020974626822862,1.0,13.94499092500007,3167.624795832732,101363.9934666474,16741,checkpoints/interleaved_tournament__routed_ttn_oracle__seed20261119.pt,0.0005463274719659,1.0,512.0,0.006266099666656,10213.690079103682,326838.08253131784,64.0,16.0,16.0,5.0,8.0,32.0,640.0,16741.0,,,,5.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
interleaved_tournament__routed_ttn_oracle__seed20261119,interleaved_tournament,interleaved_threads,routed_ttn_oracle,routed_ttn_oracle,20261119,20260823,20260835,22261112,32,64,8,8,2048,512,512,64.0,18,0.0020974626822862,1.0,13.94499092500007,3167.624795832732,101363.9934666474,16741,checkpoints/interleaved_tournament__routed_ttn_oracle__seed20261119.pt,2.637338161468506,0.56640625,512.0,0.0096247636666551,6649.513922271866,425568.8910253994,64.0,16.0,16.0,6.0,8.0,32.0,768.0,16741.0,,,,6.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
interleaved_tournament__routed_ttn_oracle__seed20261119,interleaved_tournament,interleaved_threads,routed_ttn_oracle,routed_ttn_oracle,20261119,20260823,20260835,23261112,32,128,8,8,2048,512,512,128.0,18,0.0020974626822862,1.0,13.94499092500007,3167.624795832732,101363.9934666474,16741,checkpoints/interleaved_tournament__routed_ttn_oracle__seed20261119.pt,4.6413984298706055,0.26171875,512.0,0.0172548020000249,3709.1123966480463,474766.38677094993,64.0,16.0,16.0,7.0,8.0,32.0,896.0,16741.0,,,,7.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
hierarchy_topology__routed_ttn_oracle__seed20271019,hierarchy_topology,permuted_hierarchy,routed_ttn_oracle,routed_ttn_oracle,20271019,20270823,20270835,21271012,32,32,8,8,4096,1024,512,17.0,12,7.891703353379853e-05,1.0,19.628167676999965,5815.3032513334565,186089.7040426706,16675,checkpoints/hierarchy_topology__routed_ttn_oracle__seed20271019.pt,7.652353815501556e-05,1.0,512.0,0.003761938333317,17012.506407453286,544400.2050385051,64.0,16.0,16.0,5.0,8.0,32.0,640.0,16675.0,,,,5.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
hierarchy_topology__routed_ttn_oracle__seed20271019,hierarchy_topology,permuted_hierarchy,routed_ttn_oracle,routed_ttn_oracle,20271019,20270823,20270835,22271012,32,64,8,8,4096,1024,512,17.0,12,7.891703353379853e-05,1.0,19.628167676999965,5815.3032513334565,186089.7040426706,16675,checkpoints/hierarchy_topology__routed_ttn_oracle__seed20271019.pt,7.8171487984946e-05,1.0,512.0,0.0116833909999816,5477.861692731187,350583.148334796,64.0,16.0,16.0,6.0,8.0,32.0,768.0,16675.0,,,,6.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
hierarchy_topology__routed_ttn_oracle__seed20271019,hierarchy_topology,permuted_hierarchy,routed_ttn_oracle,routed_ttn_oracle,20271019,20270823,20270835,23271012,32,128,8,8,4096,1024,512,17.0,12,7.891703353379853e-05,1.0,19.628167676999965,5815.3032513334565,186089.7040426706,16675,checkpoints/hierarchy_topology__routed_ttn_oracle__seed20271019.pt,7.50835461076349e-05,1.0,512.0,0.0191800770000251,3336.795780325392,427109.8598816501,64.0,16.0,16.0,7.0,8.0,32.0,896.0,16675.0,,,,7.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
detail_disentangler__routed_ttn_oracle__seed20281019,detail_disentangler,predictive_detail,routed_ttn_oracle,routed_ttn_oracle,20281019,20280823,20280835,21281012,32,32,8,8,2048,512,512,32.0,10,0.000642576458631,1.0,13.250879543999986,2823.304687869707,90345.75001183062,16707,checkpoints/detail_disentangler__routed_ttn_oracle__seed20281019.pt,0.0006538550951518,1.0,512.0,0.0076347120000264,8382.765453337153,268248.4945067889,64.0,16.0,16.0,5.0,8.0,32.0,640.0,16707.0,,,,5.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
